file,draft_model,k,total_generate_ms,end_to_end_tokens_per_sec,spec_acceptance_rate,ttft_ms,inter_token_latency_ms,max_gpu_mem_gb
hf_baseline_qwen3-8b_g128.json,baseline,4,7285.688313802083,17.56871834004305,,,,18.756096522013348
spec_Qwen3-1_7B_k4_g128.json,Qwen/Qwen3-1.7B,4,10733.264322916666,11.925553627753986,0.7468354430379747,731.1349690755209,78.7567968980881,21.895588239034016
spec_Qwen3-1_7B_k8_g128.json,Qwen/Qwen3-1.7B,8,11330.385416666666,11.297136610618333,0.5959595959595959,891.9275512695312,82.19247018580576,21.896923859914143
spec_Qwen3-1_7B_k2_g128.json,Qwen/Qwen3-1.7B,2,11544.598307291666,11.087462915920138,0.855072463768116,630.8536173502604,85.93487300900767,21.89404567082723
spec_Qwen3-4B_k4_g128.json,Qwen/Qwen3-4B,4,12066.369140625,10.608047276896317,0.7894736842105263,881.4390665690104,88.07020308517819,26.359387238820393
spec_Qwen3-4B_k8_g128.json,Qwen/Qwen3-4B,8,12974.138671875,9.865845496873353,0.6521739130434783,1107.9884847005208,93.43414065810873,26.36005433400472
spec_Qwen3-4B_k2_g128.json,Qwen/Qwen3-4B,2,13162.888346354166,9.724373341248498,0.8823529411764706,776.3176066080729,97.53193349859083,26.358051141103108
spec_Qwen3-1_7B_k1_g128.json,Qwen/Qwen3-1.7B,1,13808.237630208334,9.269851099041835,0.921875,600.5695190429688,103.99720069304539,21.83241542180379
spec_Qwen3-1_7B_k16_g128.json,Qwen/Qwen3-1.7B,16,14065.352864583334,9.100402240542813,0.4244604316546763,1219.6857503255208,101.14688463872568,21.90133047103882
spec_Qwen3-4B_k1_g128.json,Qwen/Qwen3-4B,1,15461.848307291666,8.278496958461902,0.9375,721.3595377604166,116.06662922456195,26.30130370457967
spec_Qwen3-4B_k16_g128.json,Qwen/Qwen3-4B,16,15910.6103515625,8.045018484303295,0.4838709677419355,1537.1769205729167,113.17653628006538,26.363115628560383
spec_Qwen3-0_6B_k1_g128.json,Qwen/Qwen3-0.6B,1,21160.970703125,6.048873564030301,0.296875,550.5389200846354,162.28670195331725,19.73733647664388
spec_Qwen3-0_6B_k2_g128.json,Qwen/Qwen3-0.6B,2,24852.153645833332,5.150721718185275,0.17511520737327188,585.8430379231771,191.07313730084186,19.79382546742757
spec_Qwen3-0_6B_k4_g128.json,Qwen/Qwen3-0.6B,4,31845.929036458332,4.019352539543549,0.09571788413098237,678.0122477213541,245.41649775008068,19.79531462987264
spec_Qwen3-0_6B_k8_g128.json,Qwen/Qwen3-0.6B,8,46152.384114583336,2.773427360712623,0.05019815059445178,828.4559326171875,356.8812242657107,19.803748448689777
spec_Qwen3-0_6B_k16_g128.json,Qwen/Qwen3-0.6B,16,75489.015625,1.6956259363503228,0.025727826675693975,1169.6421305338542,585.1918248234273,19.804550170898438
